iter	Passed	Remaining
0	8	8736
1	18	9338
2	28	9383
3	33	8306
4	42	8363
5	51	8467
6	59	8478
7	69	8569
8	78	8603
9	86	8551
10	96	8692
11	105	8727
12	117	8958
13	124	8782
14	133	8746
15	140	8661
16	150	8681
17	156	8521
18	164	8512
19	169	8315
20	179	8358
21	187	8321
22	196	8345
23	205	8370
24	214	8347
25	222	8341
26	229	8278
27	239	8298
28	249	8348
29	258	8370
30	266	8343
31	276	8360
32	284	8346
33	291	8277
34	299	8265
35	309	8297
36	318	8290
37	328	8307
38	336	8290
39	344	8271
40	353	8277
41	362	8258
42	371	8268
43	379	8246
44	389	8271
45	398	8258
46	405	8221
47	415	8245
48	424	8240
49	433	8239
50	442	8240
51	452	8252
52	460	8235
53	470	8245
54	478	8229
55	489	8255
56	502	8320
57	514	8351
58	523	8351
59	533	8357
60	542	8355
61	552	8359
62	561	8349
63	570	8336
64	579	8329
65	588	8333
66	598	8333
67	606	8314
68	616	8320
69	624	8302
70	635	8310
71	644	8302
72	652	8286
73	662	8288
74	670	8270
75	679	8266
76	688	8249
77	698	8252
78	706	8237
79	715	8227
80	724	8218
81	732	8204
82	741	8194
83	751	8193
84	761	8200
85	770	8183
86	779	8178
87	788	8170
88	796	8157
89	805	8148
90	814	8132
91	823	8129
92	831	8114
93	841	8111
94	852	8121
95	861	8111
96	870	8101
97	878	8086
98	887	8075
99	895	8059
100	904	8053
101	913	8040
102	924	8052
103	935	8063
104	945	8060
105	955	8057
106	963	8041
107	972	8034
108	981	8021
109	990	8014
110	999	8005
111	1007	7990
112	1017	7985
113	1025	7970
114	1034	7964
115	1043	7949
116	1053	7947
117	1062	7941
118	1071	7934
119	1081	7927
120	1089	7912
121	1097	7901
122	1107	7897
123	1117	7893
124	1125	7879
125	1135	7876
126	1143	7862
127	1153	7858
128	1162	7851
129	1171	7838
130	1180	7831
131	1188	7817
132	1198	7812
133	1206	7798
134	1216	7794
135	1225	7782
136	1234	7775
137	1243	7768
138	1253	7763
139	1262	7757
140	1271	7743
141	1281	7740
142	1289	7729
143	1298	7719
144	1307	7708
145	1315	7696
146	1324	7685
147	1333	7673
148	1343	7672
149	1353	7668
150	1365	7677
151	1374	7669
152	1382	7654
153	1392	7649
154	1400	7636
155	1410	7633
156	1419	7623
157	1426	7600
158	1434	7587
159	1444	7581
160	1453	7574
161	1463	7568
162	1473	7564
163	1481	7551
164	1491	7546
165	1499	7534
166	1509	7530
167	1517	7515
168	1525	7503
169	1534	7492
170	1542	7478
171	1551	7469
172	1559	7456
173	1568	7447
174	1578	7441
175	1588	7435
176	1596	7422
177	1605	7414
178	1613	7402
179	1623	7397
180	1632	7388
181	1641	7376
182	1651	7372
183	1659	7359
184	1669	7355
185	1679	7349
186	1686	7332
187	1694	7320
188	1704	7313
189	1713	7305
190	1722	7295
